Sample,ceramideId,isotope,replicate,area,SampleType,LabId,ceramideName,Protocol,Vendor,Instrument,MassAnalyzerType
yA-A 1,3,l,2,200588.264954704,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 1,3,l,3,33276.7823621844,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 1,4,l,1,52160.602992041,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 1,4,l,2,49808.4153465921,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 1,4,l,3,7695.22110392144,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 1,1,h,1,16294.0516022813,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 1,1,h,2,15946.0521301427,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 1,1,h,3,4663.18843276643,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 1,2,h,1,16383.612583474,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 1,2,h,2,15787.5952452253,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 1,2,h,3,2710.19580994818,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 1,3,h,1,340205.815603239,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 1,3,h,2,343910.498325585,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 1,3,h,3,57943.4482545096,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 1,4,h,1,94069.5254484337,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 1,4,h,2,91545.2176400009,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 1,4,h,3,16114.7340753464,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 2,1,l,1,10966.9447909487,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 2,1,l,2,13888.3148853759,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 2,1,l,3,7239.74037512175,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 2,2,l,1,4057.48671270371,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 2,2,l,2,4525.11778227846,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 2,2,l,3,1721.81014599568,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 2,3,l,1,152725.03601033,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 2,3,l,2,153995.330834649,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 2,3,l,3,70466.0292583785,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 2,4,l,1,35736.8066578064,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 2,4,l,2,40979.9484856384,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 2,4,l,3,17502.5192987795,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 2,1,h,1,15135.096383212,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
