Lab_id,SampleType,SampleId,ceramideName,Unit,replicate,Protocol,Instrument,MassAnalyzerType,C_SinglePoint,Calibration Line 1,Calibration Line 2,Avg_C_Adj
02a,NIST T1D,T1D 4,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.451096121,0.507239084,0.477463481,0.492351282
02a,NIST T1D,T1D 5,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.165528233,0.12676368,0.119258164,0.123010922
02a,NIST T1D,T1D 5,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.032099448,0.049787667,0.049391593,0.04958963
02a,NIST T1D,T1D 5,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.347715736,1.423723229,1.354230793,1.388977011
02a,NIST T1D,T1D 5,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.459363958,0.51677397,0.486333523,0.501553746
02a,NIST T1D,T1D 6,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.169537402,0.129896365,0.122224113,0.126060239
02a,NIST T1D,T1D 6,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.033464567,0.051948745,0.05154038,0.051744562
02a,NIST T1D,T1D 6,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.373015873,1.450827534,1.379920485,1.415374009
02a,NIST T1D,T1D 6,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.462608696,0.520515966,0.489814598,0.505165282
02a,NIST YAA,yA-A 1,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.114500792,0.086891838,0.081508492,0.084200165
02a,NIST YAA,yA-A 1,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.017483296,0.026649296,0.026384812,0.026517054
02a,NIST YAA,yA-A 1,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.895631068,0.939400129,0.895185216,0.917292673
02a,NIST YAA,yA-A 1,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.283154122,0.313559885,0.29728907,0.305424478
02a,NIST YAA,yA-A 2,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.120294599,0.091419005,0.085794701,0.088606853
02a,NIST YAA,yA-A 2,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.017054715,0.025970822,0.025710197,0.02584051
02a,NIST YAA,yA-A 2,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.906091371,0.950606363,0.90580658,0.928206471
02a,NIST YAA,yA-A 2,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.282918149,0.31328775,0.29703591,0.30516183
02a,NIST YAA,yA-A 3,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.127254098,0.096857021,0.09094328,0.093900151
02a,NIST YAA,yA-A 3,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.017221584,0.026234988,0.025972861,0.026103924
